n,Rain,WL,E1-10,E1-30,E1-60,E2-10,E2-30,E2-45,E3-10,E3-30,E3-60,E4-10,E4-30,E4-45,B1-10,B1-30,B1-60,B2-10,B2-30,B2-60,B3-10,B3-30,B3-60,B4-10,B4-30,B4-60,B5-10,B5-30,B5-45,A2-10,A2-30,A3-10,A3-30,A3-60,A4-10,A4-30,A5-10,A5-30,A5-60,C1-10,C1-30,C1-60,C2-10,C2-30,C2-60,C3-10,C3-30,C4-10,C4-30,D1-10,D1-30,D2-10,D2-30,D2-60,D3-10,D3-30,D4-10,D4-30
2012-09-28 12:00,0,1.2,22,11.1,15.8,20,20.9,19.2,18,22,26.6,27.9,29,27.8,19.5,24.1,28,18.2,24.3,26.3,21.6,26.6,24.3,28.1,25,27.2,31.1,30.1,32.2,19.1,19,23,25.3,25.7,22.7,24.3,25.6,20.3,22.6,22.9,25.6,28.9,23.2,26.4,30.8,28.7,31.8,33.5,35.4,22.9,26.8,25.2,28.1,28.4,35.2,28,24.5,33.3
2012-09-28 14:00,14,1.28,25.7,11,15.5,20.7,21.2,19.1,20,22,26.4,33.5,29.2,27.9,21.5,23.7,27.4,18.2,24.4,26.2,22.8,26.7,24.2,30.9,24.9,27.2,36.2,30,32.2,21.9,19.6,24.2,25.2,25.8,30.1,24.2,30.8,20.2,22.5,25,25.6,28.9,27.8,26.4,30.9,28.3,31.8,37.5,36.3,25.6,26.9,28.1,28.1,28.4,38,28.2,25.2,34.7
2012-09-28 16:00,9.5,1.29,26.9,12.5,15.7,25.5,21.3,19.2,24.1,22,26.5,33.9,31.3,28,22.3,24.1,27.3,18.8,24.3,26.3,25.8,26.7,24.1,33.7,25.1,27.2,36.4,32.1,33.6,24.9,19.4,24.7,25.2,25.7,33.8,30.2,32.5,22.3,22.6,28.1,25.8,28.9,28.9,26.6,30.9,31.9,31.9,36.9,37.1,28.2,27,30.2,30.1,28.4,43.5,27.9,26.5,35.9
2012-09-28 18:00,0,1.25,26.6,13.1,16.5,25.5,21.5,19,25.3,22.1,26.5,32.6,31.6,28.2,23.6,23.8,27.7,18.6,24.5,26.3,25.7,26.9,24.2,33.2,25.8,27.2,34.7,31.2,33,24.4,19.7,24.9,25.2,25.8,31.9,31.2,31.3,23.5,22.5,27.9,26,28.9,28.4,27.7,30.9,33.7,31.9,35.3,36.3,28.2,27,29.6,32.3,28.4,41.7,28.2,27.8,35.1
2012-09-28 20:00,0,1.24,26.5,13.4,16.3,25.4,21.9,19.1,25.5,22.1,26.4,32,31.5,28.1,24.2,23.7,27.3,18.8,24.6,26.3,25.4,27.4,24.3,33,26.5,27.2,33.8,30.9,32.6,24.8,20.8,25,25.5,25.8,31.1,31,30.6,24,22.8,27.6,26.4,28.8,28,28.2,30.9,33.8,31.8,34.8,35.9,27.8,27,29.2,32.2,28.4,40.8,28.1,28.2,34.9
2012-09-28 22:00,0,1.2,26.2,13.3,16.8,25.3,22.2,19.3,25.6,22.1,26.5,31.6,31.3,28,23.9,24,27.6,19.4,25.3,26.2,25.3,27.9,24.3,32.7,26.9,27.2,33.5,30.6,32.4,22.8,21,25.2,25.7,25.8,30.7,30.9,29.9,24,22.3,27.5,26.7,28.9,27.9,28.3,31,33.8,31.9,34.3,35.7,27.3,27.1,29,32.2,28.4,40.7,28.2,28.4,34.8
2012-09-29 0:00,0,1.2,26.2,13.2,17,25.2,22.6,19.4,25.5,22.1,26.5,31.3,31.1,28,23.4,24.3,27.4,19.8,24.6,26.2,25.2,28.2,24.1,32.6,26.9,27.3,32.9,30.4,32.3,22.1,21,25.2,26.2,25.8,30.5,30.7,29.9,23.4,22.6,27.4,27,28.8,27.8,28.4,30.9,33.8,32,34.1,35.6,27.3,27,28.8,32.1,28.3,41.1,28.2,28.6,34.6
2012-09-29 2:00,0,1.2,26.1,13.3,16.9,25.1,22.8,19.3,25.5,22.1,26.6,31,31,28,24.8,24.1,27.3,20,24.7,26.3,25,28.3,24.2,32.4,27,27.2,32.7,30.5,32.3,23.4,21.6,25.2,26.4,25.7,30.3,30.7,29.7,23.9,22.4,27.3,27.1,28.8,27.6,28.4,31,33.5,32.2,34,35.5,27.1,27.2,28.7,32.1,28.3,40.2,28.3,28.9,34.6
2012-09-29 4:00,0,1.2,25.8,13.2,16.8,25,22.9,19.6,25.6,22.1,26.4,30.9,30.9,28,23.7,24.1,27.7,19.8,24.7,26.3,24.8,28.3,24.3,32.4,26.9,27.2,32.8,30.3,32.2,22.2,21.3,25.6,26.4,25.5,30,30.5,29.7,23.4,23,27.2,27.4,28.8,27.6,28.4,30.9,33.5,32.4,34,35.4,27.2,27.3,28.5,32.1,28.3,39.8,28.3,28.4,34.6
2012-09-29 6:00,0,1.2,25.9,13.3,17.1,25,23,19.8,25.4,22.1,26.5,30.8,30.8,27.9,23.7,24.2,27.3,20.1,24.7,26.3,25,28.5,24.3,32.2,27,27.3,32.9,30.3,32.2,21.5,21.3,25.3,25.9,25.9,30,30.4,29.6,23.4,22.7,27.1,27.5,28.9,27.5,28.4,30.9,33.5,32.5,33.9,35.4,27.2,27.2,28.5,32,28.3,59.6,28.6,28.6,34.4
